red_fighter_name,blue_fighter_name,event_date,red_fighter_nickname,blue_fighter_nickname,red_fighter_result,blue_fighter_result,method,round,time,time_format,referee,details,bout_type,bonus,event_name,event_location,red_fighter_KD,blue_fighter_KD,red_fighter_sig_str,blue_fighter_sig_str,red_fighter_sig_str_pct,blue_fighter_sig_str_pct,red_fighter_total_str,blue_fighter_total_str,red_fighter_TD,blue_fighter_TD,red_fighter_TD_pct,blue_fighter_TD_pct,red_fighter_sub_att,blue_fighter_sub_att,red_fighter_rev,blue_fighter_rev,red_fighter_ctrl,blue_fighter_ctrl,red_fighter_sig_str_head,blue_fighter_sig_str_head,red_fighter_sig_str_body,blue_fighter_sig_str_body,red_fighter_sig_str_leg,blue_fighter_sig_str_leg,red_fighter_sig_str_distance,blue_fighter_sig_str_distance,red_fighter_sig_str_clinch,blue_fighter_sig_str_clinch,red_fighter_sig_str_ground,blue_fighter_sig_str_ground,red_fighter_sig_str_head_pct,blue_fighter_sig_str_head_pct,red_fighter_sig_str_body_pct,blue_fighter_sig_str_body_pct,red_fighter_sig_str_leg_pct,blue_fighter_sig_str_leg_pct,red_fighter_sig_str_distance_pct,blue_fighter_sig_str_distance_pct,red_fighter_sig_str_clinch_pct,blue_fighter_sig_str_clinch_pct,red_fighter_sig_str_ground_pct,blue_fighter_sig_str_ground_pct,red_fighter_total_pts,blue_fighter_total_pts
ALEX OLIVEIRA,PIOTR HALLMANN,07/11/2015,Cowboy,Pletwal,W,L,KO/TKO,3,0:51,3 Rnd (5-5-5),Mario Yamasaki,Punch to Head At Distance,Lightweight Bout,perf,UFC Fight Night: Belfort vs Henderson 3,"Sao Paulo, Sao Paulo, Brazil",1,0,42,36,38,50,54,79,0,1,0,50,0,0,0,0,3:00,3:30,32,26,7,5,3,5,24,19,16,13,2,4,76,72,16,13,7,13,57,52,38,36,4,11,,
GILBERT BURNS,RASHID MAGOMEDOV,07/11/2015,Durinho,Highlander,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Guilherme Bravo 27 - 30. Chris Lee 27 - 30. Otto Torriero 27 - 30.,Lightweight Bout,-,UFC Fight Night: Belfort vs Henderson 3,"Sao Paulo, Sao Paulo, Brazil",0,2,28,80,36,55,29,94,2,2,40,100,0,0,0,0,2:05,1:09,14,59,5,14,9,7,27,68,1,6,0,6,50,73,17,17,32,8,96,85,3,7,0,7,,
VISCARDI ANDRADE,GASAN UMALATOV,07/11/2015,-,Cobra,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Eduardo Herdy,Guilherme Bravo 27 - 30. Chris Lee 27 - 30. Otto Torriero 28 - 29.,Welterweight Bout,-,UFC Fight Night: Belfort vs Henderson 3,"Sao Paulo, Sao Paulo, Brazil",0,0,78,38,42,37,80,40,0,0,0,0,0,0,0,0,0:02,0:41,38,28,28,5,12,5,55,34,23,4,0,0,48,73,35,13,15,13,70,89,29,10,0,0,,
PEDRO MUNHOZ,JIMMIE RIVERA,07/11/2015,The Young Punisher,El Terror,L,W,Decision - Split,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Marco Borges 28 - 29. Derek Cleary 29 - 28. Alessandro Vieira 28 - 29.,Bantamweight Bout,-,UFC Fight Night: Belfort vs Henderson 3,"Sao Paulo, Sao Paulo, Brazil",0,0,66,96,36,41,67,98,0,0,0,0,0,0,0,0,0:09,0:09,31,69,14,17,21,10,64,94,2,2,0,0,46,71,21,17,31,10,96,97,3,2,0,0,,
PADDY HOLOHAN,LOUIS SMOLKA,24/10/2015,The Hooligan,Da Last Samurai,L,W,Submission,2,4:09,3 Rnd (5-5-5),Marc Goddard,Rear Naked Choke,Flyweight Bout,-,UFC Fight Night: Holohan vs Smolka,"Dublin, Leinster, Ireland",0,0,16,59,40,66,31,66,4,0,44,0,0,2,1,2,4:16,2:57,6,51,8,7,2,1,6,18,1,1,9,40,37,86,50,11,12,1,37,30,6,1,56,67,,
NORMAN PARKE,REZA MADADI,24/10/2015,Stormin',Mad Dog,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,Andreas Gruner 27 - 30. Andy Haigh 27 - 30. Paul Sutherland 27 - 30.,Lightweight Bout,-,UFC Fight Night: Holohan vs Smolka,"Dublin, Leinster, Ireland",0,0,47,33,32,34,56,40,1,1,16,8,0,0,0,0,4:27,2:17,31,27,13,4,3,2,43,24,4,9,0,0,65,81,27,12,6,6,91,72,8,27,0,0,,
NEIL SEERY,JON DELOS REYES,24/10/2015,2Tap,The Heat,W,L,Submission,2,4:12,3 Rnd (5-5-5),Kevin Sataki,Guillotine Choke From Guard,Flyweight Bout,perf,UFC Fight Night: Holohan vs Smolka,"Dublin, Leinster, Ireland",0,0,38,25,40,33,47,26,2,3,40,75,2,0,1,0,2:23,2:34,32,16,1,7,5,2,32,16,5,8,1,1,84,64,2,28,13,8,84,64,13,32,2,4,,
STEVIE RAY,MICKAEL LEBOUT,24/10/2015,Braveheart,Ragnar,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,Mark Collett 28 - 29. Andreas Gruner 27 - 30. Howard Hughes 27 - 30.,Lightweight Bout,-,UFC Fight Night: Holohan vs Smolka,"Dublin, Leinster, Ireland",0,0,48,27,32,19,53,29,1,0,100,0,0,0,0,0,0:46,0:47,26,20,7,1,15,6,46,27,1,0,1,0,54,74,14,3,31,22,95,100,2,0,2,0,,
AISLING DALY,ERICKA ALMEIDA,24/10/2015,Ais the Bash,-,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Piotr Michalak,Andreas Gruner 27 - 30. Howard Hughes 27 - 29. Paul Sutherland 28 - 29.,Women's Strawweight Bout,-,UFC Fight Night: Holohan vs Smolka,"Dublin, Leinster, Ireland",0,0,59,19,56,43,166,57,2,1,40,100,0,0,0,0,11:08,3:00,43,12,13,6,3,1,2,4,14,12,43,3,72,63,22,31,5,5,3,21,23,63,72,15,,
SCOTT ASKHAM,KRZYSZTOF JOTKO,24/10/2015,-,-,L,W,Decision - Split,3,5:00,3 Rnd (5-5-5),Kevin Sataki,Andy Haigh 28 - 29. Paul Sutherland 29 - 28. Dean Weir 28 - 29.,Middleweight Bout,-,UFC Fight Night: Holohan vs Smolka,"Dublin, Leinster, Ireland",0,0,22,38,32,37,38,107,0,2,0,66,1,0,0,0,2:22,4:05,7,24,3,9,12,5,15,16,4,6,3,16,31,63,13,23,54,13,68,42,18,15,13,42,,
