winner,ref,diff_TD,diff_sub_att,diff_sig_str_leg_pct,diff_sig_str_head_pct,diff_total_str,diff_sig_str_distance_pct,diff_sig_str_body,diff_sig_str_pct,diff_KD,diff_sig_str_distance,diff_sig_str_ground,diff_sig_str_body_pct,diff_sig_str_clinch,diff_sig_str,diff_sig_str_head,diff_TD_pct,diff_sig_str_clinch_pct,diff_sig_str_leg,diff_sig_str_ground_pct
L,Mark Smith,1.0,0.0,-14.0,6.0,-52.0,-2.0,-8.0,3.0,0.0,-54.0,-1.0,8.0,1.0,-54.0,-27.0,-82.0,3.0,-19.0,-1.0
L,Thomas Fan,0.0,-1.0,-2.0,19.0,-7.0,3.0,-8.0,-17.0,0.0,-5.0,2.0,-17.0,-4.0,-7.0,4.0,-30.0,-10.0,-3.0,6.0
W,Thomas Fan,5.0,0.0,0.0,23.0,-24.0,15.0,-15.0,1.0,0.0,11.0,0.0,-23.0,-9.0,2.0,17.0,45.0,-15.0,0.0,0.0
L,Marc Goddard,2.0,0.0,-5.0,9.0,9.0,38.0,-8.0,-32.0,0.0,-14.0,-15.0,-5.0,-6.0,-35.0,-19.0,-6.0,-12.0,-8.0,-26.0
W,Jason Herzog,2.0,-1.0,-15.0,22.0,64.0,-30.0,0.0,18.0,0.0,-1.0,9.0,-8.0,1.0,9.0,9.0,50.0,-2.0,0.0,33.0
L,Thomas Fan,0.0,0.0,9.0,6.0,-38.0,17.0,-21.0,-4.0,0.0,8.0,0.0,-16.0,-24.0,-16.0,-1.0,18.0,-17.0,6.0,0.0
L,Herb Dean,-1.0,0.0,9.0,-27.0,2.0,-15.0,8.0,7.0,0.0,3.0,0.0,18.0,7.0,10.0,-3.0,0.0,15.0,5.0,0.0
L,Mark Smith,0.0,0.0,11.0,-16.0,-16.0,0.0,0.0,-22.0,0.0,-14.0,0.0,4.0,0.0,-14.0,-16.0,0.0,0.0,2.0,0.0
W,Herb Dean,5.0,3.0,5.0,0.0,19.0,-60.0,2.0,45.0,0.0,0.0,11.0,-5.0,4.0,15.0,9.0,-46.0,5.0,4.0,55.0
L,Chris Tognoni,0.0,0.0,3.0,-9.0,60.0,9.0,21.0,2.0,0.0,54.0,0.0,7.0,-4.0,50.0,21.0,25.0,-9.0,8.0,0.0
L,Mark Smith,-1.0,-3.0,25.0,50.0,2.0,75.0,1.0,50.0,0.0,3.0,1.0,25.0,0.0,4.0,2.0,-33.0,0.0,1.0,25.0
W,Mike Beltran,-2.0,1.0,2.0,-16.0,56.0,-16.0,4.0,-30.0,0.0,4.0,3.0,15.0,3.0,10.0,4.0,60.0,-2.0,2.0,18.0
L,Jason Herzog,-1.0,0.0,14.0,-9.0,-4.0,12.0,-7.0,-3.0,0.0,-6.0,-1.0,-5.0,-11.0,-18.0,-19.0,34.0,-11.0,8.0,-1.0
L,Rob Mooney,-5.0,3.0,13.0,-89.0,-309.0,69.0,-7.0,-24.0,0.0,2.0,-136.0,76.0,-3.0,-137.0,-129.0,-83.0,25.0,-1.0,-94.0
L,George Conley,-1.0,1.0,37.0,-13.0,-61.0,11.0,-17.0,-13.0,-2.0,-23.0,-7.0,-23.0,-2.0,-32.0,-17.0,-100.0,1.0,2.0,-12.0
L,George Conley,-3.0,-1.0,5.0,-26.0,27.0,-11.0,17.0,11.0,0.0,-4.0,1.0,21.0,8.0,5.0,-16.0,-50.0,10.0,4.0,1.0
